,Symbol,PAM_freq,MutSig2CV_qvalue,Fusion_freq,CNA_freq,CNA_locus,CNA_type,GISTIC_residual_q_value,Act_freq,LoF_freq,OM_type_selected,OM_empirical_p_value,OM_empirical_q_value,Genes_in_locus,Final_mutation_type,Final_freq,Delta_over_PAM,Pathway_Length,Pathway_Name,Somatically_Mutated_Genes,Amplified_Genes,Deleted_Genes,ME_pvalues
262,AMD1,0.0,1.0,0.0,0.021052631578947368,6q21,Del,0.0069405,0.005263157894736842,0.021052631578947368,,,,,,,,1,,,,,
263,AMD1P2,0.0,,,,,,,,,,,,,,,,1,,,,,
265,AMELX,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
266,AMELY,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
267,AMFR,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
268,AMH,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
269,AMHR2,0.002631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
270,AMPD1,0.015789473684210527,1.0,0.0,,,,,,,,,,,,,,1,,,,,
271,AMPD2,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
272,AMPD3,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
273,AMPH,0.015789473684210527,1.0,0.0,,,,,,,,,,,,,,1,,,,,
274,BIN1,0.010526315789473684,1.0,,,,,,,,,,,,,,,1,,,,,
275,AMT,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
276,AMY1A,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
277,AMY1B,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
278,AMY1C,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
279,AMY2A,0.015789473684210527,1.0,,,,,,,,,,,,,,,1,,,,,
280,AMY2B,0.013157894736842105,1.0,,,,,,,,,,,,,,,1,,,,,
281,AMYP1,0.0,,,,,,,,,,,,,,,,1,,,,,
283,ANG,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
284,ANGPT1,0.007894736842105263,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
285,ANGPT2,0.002631578947368421,1.0,0.0,0.07368421052631578,8p23.3,Del,1.7517e-05,0.005263157894736842,0.07631578947368421,LoF,0.0432,0.1895225806451613,,,,,1,,,,,
286,ANK1,0.05526315789473684,1.0,0.002631578947368421,,,,,0.13157894736842105,0.07631578947368421,,,,,,,,1,,,,,
287,ANK2,0.08947368421052632,1.0,0.0,,,,,0.09473684210526316,0.09736842105263158,,,,,,,,1,,,,,
288,ANK3,0.07368421052631578,1.0,0.002631578947368421,,,,,0.08421052631578947,0.09473684210526316,,,,,,,,1,,,,,
390831,PMM2P1,0.0,,,,,,,,,,,,,,,,1,,,,,
290,ANPEP,0.015789473684210527,1.0,0.0,,,,,,,,,,,,,,1,,,,,
291,SLC25A4,0.005263157894736842,1.0,,0.021052631578947368,4q34.2,Del,6.0848e-08,0.007894736842105263,0.02631578947368421,,,,,,,,1,,,,,
292,SLC25A5,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
293,SLC25A6,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
131368,ZPLD1,0.002631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
301,ANXA1,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
302,ANXA2,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
303,ANXA2P1,0.0,,,,,,,,,,,,,,,,1,,,,,
304,ANXA2P2,0.0,,,,,,,,,,,,,,,,1,,,,,
305,ANXA2P3,0.0,,,,,,,,,,,,,,,,1,,,,,
306,ANXA3,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
307,ANXA4,0.002631578947368421,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
308,ANXA5,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
309,ANXA6,0.013157894736842105,1.0,0.0,,,,,,,,,,,,,,1,,,,,
310,ANXA7,0.015789473684210527,1.0,0.0,,,,,,,,,,,,,,1,,,,,
311,ANXA11,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
312,ANXA13,0.015789473684210527,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
313,AOAH,0.015789473684210527,1.0,0.0,,,,,,,,,,,,,,1,,,,,
314,AOC2,0.010526315789473684,1.0,,,,,,,,,,,,,,,1,,,,,
316,AOX1,0.018421052631578946,1.0,,,,,,,,,,,,,,,1,,,,,
317,APAF1,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
318,NUDT2,0.0,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
319,APOF,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
320,APBA1,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
321,APBA2,0.021052631578947368,1.0,0.0,0.013157894736842105,15q13.1,Del,0.00034203,0.02368421052631579,0.034210526315789476,,,,,,,,1,,,,,
322,APBB1,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
323,APBB2,0.002631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
324,APC,0.042105263157894736,1.0,0.0,,,,,,,,,,,,,,1,,,,,
325,APCS,0.010526315789473684,1.0,,,,,,,,,,,,,,,1,,,,,
326,AIRE,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
327,APEH,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
328,APEX1,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
329,BIRC2,0.005263157894736842,1.0,0.0,0.04736842105263158,11q22.2,Amp,0.046827,0.05263157894736842,0.010526315789473684,Act,0.2031,0.2241103448275862,,,,,1,,,,,
330,BIRC3,0.007894736842105263,1.0,0.0,0.04736842105263158,11q22.2,Amp,0.046827,0.05526315789473684,0.013157894736842105,Act,0.1765,0.22294736842105262,,,,,1,,,,,
331,XIAP,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
332,BIRC5,0.002631578947368421,1.0,0.0,0.02368421052631579,17q23.3,Amp,0.0024208,0.02631578947368421,0.002631578947368421,,,,,,,,1,,,,,
333,APLP1,0.02368421052631579,1.0,,,,,,,,,,,,,,,1,,,,,
334,APLP2,0.015789473684210527,1.0,0.002631578947368421,0.007894736842105263,11q23.3,Del,0.025277,0.021052631578947368,0.02631578947368421,,,,,,,,1,,,,,
